OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01200025","Sample-Routine","Water","Surface Water","2011-10-03","10:00:00","MDT",,,,,,,,,,,"USGS",,"USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Temperature, water",,"12.4","deg C",,"Accepted",,"Actual",,,,,,,"00010",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01200025","Sample-Routine","Water","Surface Water","2011-10-03","10:00:00","MDT",,,,,,,,,,,"USGS",,"USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Instream features, est. stream width",,"41.0","ft",,"Accepted",,"Actual",,,,,,,"00004",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01200025","Sample-Routine","Water","Surface Water","2011-10-03","10:00:00","MDT",,,,,,,,,,,"USGS",,"USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Height, gage",,"3.02","ft",,"Accepted",,"Actual",,,,,,,"00065",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01200198","Sample-Routine","Water","Surface Water","2011-11-14","09:59:00","MST",,,,,,,,,,,"USGS",,"USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Height, gage",,"3.13","ft",,"Accepted",,"Actual",,,,,,,"00065",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01200198","Sample-Routine","Water","Surface Water","2011-11-14","09:59:00","MST",,,,,,,,,,,"USGS",,"USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Instream features, est. stream width",,"38.0","ft",,"Accepted",,"Actual",,,,,,,"00004",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01200198","Sample-Routine","Water","Surface Water","2011-11-14","09:59:00","MST",,,,,,,,,,,"USGS",,"USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Temperature, water",,"9.0","deg C",,"Accepted",,"Actual",,,,,,,"00010",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01200198","Sample-Routine","Water","Surface Water","2011-11-14","09:59:00","MST",,,,,,,,,,,"USGS",,"USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Stream flow, instantaneous",,"60","ft3/s",,"Accepted",,"Actual",,,,,,,"00061",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01200198","Sample-Routine","Water","Surface Water","2011-11-14","09:59:00","MST",,,,,,,,,,,"USGS",,"USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Specific conductance","Total","920","uS/cm @25C",,"Accepted",,"Actual",,,"25 deg C",,,,"00095",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01200198","Sample-Routine","Water","Surface Water","2011-11-14","09:59:00","MST",,,,,,,,,,,"USGS",,"USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Gage height",,"0.95","m",,"Accepted",,"Actual",,,,,,,"30207",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01200415","Sample-Routine","Water","Surface Water","2011-12-21","10:31:00","MST",,,,,,,,,,,"USGS",,"USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Temperature, water",,"7.1","deg C",,"Accepted",,"Actual",,,,,,,"00010",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01200415","Sample-Routine","Water","Surface Water","2011-12-21","10:31:00","MST",,,,,,,,,,,"USGS",,"USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Height, gage",,"2.98","ft",,"Accepted",,"Actual",,,,,,,"00065",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01200415","Sample-Routine","Water","Surface Water","2011-12-21","10:31:00","MST",,,,,,,,,,,"USGS",,"USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Instream features, est. stream width",,"50.0","ft",,"Accepted",,"Actual",,,,,,,"00004",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01200415","Sample-Routine","Water","Surface Water","2011-12-21","10:31:00","MST",,,,,,,,,,,"USGS",,"USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Gage height",,"0.91","m",,"Accepted",,"Actual",,,,,,,"30207",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01200415","Sample-Routine","Water","Surface Water","2011-12-21","10:31:00","MST",,,,,,,,,,,"USGS",,"USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Specific conductance","Total","880","uS/cm @25C",,"Accepted",,"Actual",,,"25 deg C",,,,"00095",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01200415","Sample-Routine","Water","Surface Water","2011-12-21","10:31:00","MST",,,,,,,,,,,"USGS",,"USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Stream flow, instantaneous",,"53","ft3/s",,"Accepted",,"Actual",,,,,,,"00061",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01200485","Sample-Routine","Water","Surface Water","2012-02-10","09:33:00","MST",,,,,,,,,,,"USGS",,"USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Height, gage",,"2.95","ft",,"Accepted",,"Actual",,,,,,,"00065",,,,,,"ETG","USGS","Gage height, electric tape","USGS TWRI 3-A7",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01200485","Sample-Routine","Water","Surface Water","2012-02-10","09:33:00","MST",,,,,,,,,,,"USGS",,"USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Temperature, water",,"9.2","deg C",,"Accepted",,"Actual",,,,,,,"00010",,,,,,"THM01","USGS","Temperature, water, thermistor","USGS National Field Manual, Chapter A6.1",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01200485","Sample-Routine","Water","Surface Water","2012-02-10","09:33:00","MST",,,,,,,,,,,"USGS",,"USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Gage height",,"0.90","m",,"Accepted",,"Actual",,,,,,,"30207",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01200485","Sample-Routine","Water","Surface Water","2012-02-10","09:33:00","MST",,,,,,,,,,,"USGS",,"USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Specific conductance","Total","886","uS/cm @25C",,"Accepted",,"Actual",,,"25 deg C",,,,"00095",,,,,,"SC003","USGS","Specific cond, field (NRP/CO)","USGS TWRI 9-A6.3/1998",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01200485","Sample-Routine","Water","Surface Water","2012-02-10","09:33:00","MST",,,,,,,,,,,"USGS",,"USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Stream flow, instantaneous",,"50","ft3/s",,"Accepted",,"Actual",,,,,,,"00061",,,,,,"QSCMM","USGS","Disch., meas., midsection","USGS TWRI 3-A8",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01200485","Sample-Routine","Water","Surface Water","2012-02-10","09:33:00","MST",,,,,,,,,,,"USGS",,"USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Temperature, air",,"2.0","deg C",,"Accepted",,"Actual",,,,,,,"00020",,,,,,"THM05","USGS","Temperature, air, liq-in-glass","USGS National Field Manual, Chapter A6.1",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01201564","Sample-Routine","Water","Surface Water","2012-03-21","10:56:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Stream flow, instantaneous",,"58","ft3/s",,"Accepted",,"Actual",,,,,,,"00061",,,,,,"QSCMM","USGS","Disch., meas., midsection","USGS TWRI 3-A8",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01201564","Sample-Routine","Water","Surface Water","2012-03-21","10:56:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Specific conductance","Total","907","uS/cm @25C",,"Accepted",,"Actual",,,"25 deg C",,,,"00095",,,,,,"SC003","USGS","Specific cond, field (NRP/CO)","USGS TWRI 9-A6.3/1998",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01201564","Sample-Routine","Water","Surface Water","2012-03-21","10:56:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Temperature, water",,"10.5","deg C",,"Accepted",,"Actual",,,,,,,"00010",,,,,,"THM01","USGS","Temperature, water, thermistor","USGS National Field Manual, Chapter A6.1",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01201564","Sample-Routine","Water","Surface Water","2012-03-21","10:56:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Height, gage",,"2.98","ft",,"Accepted",,"Actual",,,,,,,"00065",,,,,,"ETG","USGS","Gage height, electric tape","USGS TWRI 3-A7",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01201564","Sample-Routine","Water","Surface Water","2012-03-21","10:56:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Gage height",,"0.91","m",,"Accepted",,"Actual",,,,,,,"30207",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01201564","Sample-Routine","Water","Surface Water","2012-03-21","10:56:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Temperature, air",,"4.5","deg C",,"Accepted",,"Actual",,,,,,,"00020",,,,,,"THM05","USGS","Temperature, air, liq-in-glass","USGS National Field Manual, Chapter A6.1",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01200934","Sample-Routine","Water","Surface Water","2012-05-07","12:24:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Specific conductance","Total","894","uS/cm @25C",,"Accepted",,"Actual",,,"25 deg C",,,,"00095",,,,,,"SC003","USGS","Specific cond, field (NRP/CO)","USGS TWRI 9-A6.3/1998",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01200934","Sample-Routine","Water","Surface Water","2012-05-07","12:24:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Height, gage",,"2.88","ft",,"Accepted",,"Actual",,,,,,,"00065",,,,,,"ETG","USGS","Gage height, electric tape","USGS TWRI 3-A7",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01200934","Sample-Routine","Water","Surface Water","2012-05-07","12:24:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Temperature, water",,"15.2","deg C",,"Accepted",,"Actual",,,,,,,"00010",,,,,,"THM01","USGS","Temperature, water, thermistor","USGS National Field Manual, Chapter A6.1",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01200934","Sample-Routine","Water","Surface Water","2012-05-07","12:24:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Temperature, air",,"16.5","deg C",,"Accepted",,"Actual",,,,,,,"00020",,,,,,"THM05","USGS","Temperature, air, liq-in-glass","USGS National Field Manual, Chapter A6.1",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01200934","Sample-Routine","Water","Surface Water","2012-05-07","12:24:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Stream flow, instantaneous",,"39","ft3/s",,"Accepted",,"Actual",,,,,,,"00061",,,,,,"QSCMM","USGS","Disch., meas., midsection","USGS TWRI 3-A8",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01200934","Sample-Routine","Water","Surface Water","2012-05-07","12:24:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Gage height",,"0.88","m",,"Accepted",,"Actual",,,,,,,"30207",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01201137","Sample-Routine","Water","Surface Water","2012-06-07","09:28:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Specific conductance","Total","844","uS/cm @25C",,"Accepted",,"Actual",,,"25 deg C",,,,"00095",,,,,,"SC003","USGS","Specific cond, field (NRP/CO)","USGS TWRI 9-A6.3/1998",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01201137","Sample-Routine","Water","Surface Water","2012-06-07","09:28:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Gage height",,"0.87","m",,"Accepted",,"Actual",,,,,,,"30207",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01201137","Sample-Routine","Water","Surface Water","2012-06-07","09:28:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Stream flow, instantaneous",,"38","ft3/s",,"Accepted",,"Actual",,,,,,,"00061",,,,,,"QSCMM","USGS","Disch., meas., midsection","USGS TWRI 3-A8",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01201137","Sample-Routine","Water","Surface Water","2012-06-07","09:28:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Temperature, air",,"11.0","deg C",,"Accepted",,"Actual",,,,,,,"00020",,,,,,"THM05","USGS","Temperature, air, liq-in-glass","USGS National Field Manual, Chapter A6.1",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01201137","Sample-Routine","Water","Surface Water","2012-06-07","09:28:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Temperature, water",,"12.4","deg C",,"Accepted",,"Actual",,,,,,,"00010",,,,,,"THM01","USGS","Temperature, water, thermistor","USGS National Field Manual, Chapter A6.1",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01201137","Sample-Routine","Water","Surface Water","2012-06-07","09:28:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Height, gage",,"2.85","ft",,"Accepted",,"Actual",,,,,,,"00065",,,,,,"ETG","USGS","Gage height, electric tape","USGS TWRI 3-A7",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01201428","Sample-Routine","Water","Surface Water","2012-07-16","14:39:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Temperature, air",,"26.0","deg C",,"Accepted",,"Actual",,,,,,,"00020",,,,,,"THM05","USGS","Temperature, air, liq-in-glass","USGS National Field Manual, Chapter A6.1",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01201428","Sample-Routine","Water","Surface Water","2012-07-16","14:39:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Temperature, water",,"18.6","deg C",,"Accepted",,"Actual",,,,,,,"00010",,,,,,"THM01","USGS","Temperature, water, thermistor","USGS National Field Manual, Chapter A6.1",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01201428","Sample-Routine","Water","Surface Water","2012-07-16","14:39:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Gage height",,"0.85","m",,"Accepted",,"Actual",,,,,,,"30207",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01201428","Sample-Routine","Water","Surface Water","2012-07-16","14:39:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Stream flow, instantaneous",,"28","ft3/s",,"Accepted",,"Actual",,,,,,,"00061",,,,,,"QSCMM","USGS","Disch., meas., midsection","USGS TWRI 3-A8",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01201428","Sample-Routine","Water","Surface Water","2012-07-16","14:39:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Specific conductance","Total","998","uS/cm @25C",,"Accepted",,"Actual",,,"25 deg C",,,,"00095",,,,,,"SC003","USGS","Specific cond, field (NRP/CO)","USGS TWRI 9-A6.3/1998",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01201428","Sample-Routine","Water","Surface Water","2012-07-16","14:39:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Height, gage",,"2.80","ft",,"Accepted",,"Actual",,,,,,,"00065",,,,,,"ETG","USGS","Gage height, electric tape","USGS TWRI 3-A7",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01201742","Sample-Routine","Water","Surface Water","2012-08-28","13:29:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Gage height",,"0.83","m",,"Accepted",,"Actual",,,,,,,"30207",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01201742","Sample-Routine","Water","Surface Water","2012-08-28","13:29:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Height, gage",,"2.73","ft",,"Accepted",,"Actual",,,,,,,"00065",,,,,,"ETG","USGS","Gage height, electric tape","USGS TWRI 3-A7",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01201742","Sample-Routine","Water","Surface Water","2012-08-28","13:29:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Stream flow, instantaneous",,"31","ft3/s",,"Accepted",,"Actual",,,,,,,"00061",,,,,,"QSCMM","USGS","Disch., meas., midsection","USGS TWRI 3-A8",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01201742","Sample-Routine","Water","Surface Water","2012-08-28","13:29:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Temperature, air",,"30.0","deg C",,"Accepted",,"Actual",,,,,,,"00020",,,,,,"THM05","USGS","Temperature, air, liq-in-glass","USGS National Field Manual, Chapter A6.1",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01201742","Sample-Routine","Water","Surface Water","2012-08-28","13:29:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Temperature, water",,"17.0","deg C",,"Accepted",,"Actual",,,,,,,"00010",,,,,,"THM01","USGS","Temperature, water, thermistor","USGS National Field Manual, Chapter A6.1",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01201742","Sample-Routine","Water","Surface Water","2012-08-28","13:29:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Specific conductance","Total","1010","uS/cm @25C",,"Accepted",,"Actual",,,"25 deg C",,,,"00095",,,,,,"SC003","USGS","Specific cond, field (NRP/CO)","USGS TWRI 9-A6.3/1998",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01300006","Sample-Routine","Water","Surface Water","2012-10-02","09:26:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Gage height",,"0.91","m",,"Accepted",,"Actual",,,,,,,"30207",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01300006","Sample-Routine","Water","Surface Water","2012-10-02","09:26:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Temperature, air",,"7.0","deg C",,"Accepted",,"Actual",,,,,,,"00020",,,,,,"THM05","USGS","Temperature, air, liq-in-glass","USGS National Field Manual, Chapter A6.1",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01300006","Sample-Routine","Water","Surface Water","2012-10-02","09:26:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Stream flow, instantaneous",,"50","ft3/s",,"Accepted",,"Actual",,,,,,,"00061",,,,,,"QSCMM","USGS","Disch., meas., midsection","USGS TWRI 3-A8",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01300006","Sample-Routine","Water","Surface Water","2012-10-02","09:26:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Height, gage",,"2.99","ft",,"Accepted",,"Actual",,,,,,,"00065",,,,,,"ETG","USGS","Gage height, electric tape","USGS TWRI 3-A7",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01300006","Sample-Routine","Water","Surface Water","2012-10-02","09:26:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Specific conductance","Total","980","uS/cm @25C",,"Accepted",,"Actual",,,"25 deg C",,,,"00095",,,,,,"SC003","USGS","Specific cond, field (NRP/CO)","USGS TWRI 9-A6.3/1998",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01300006","Sample-Routine","Water","Surface Water","2012-10-02","09:26:00","MDT",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Temperature, water",,"12.4","deg C",,"Accepted",,"Actual",,,,,,,"00010",,,,,,"THM01","USGS","Temperature, water, thermistor","USGS National Field Manual, Chapter A6.1",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01300186","Sample-Routine","Water","Surface Water","2012-11-13","10:55:00","MST",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Specific conductance","Total","642","uS/cm @25C",,"Accepted",,"Actual",,,"25 deg C",,,,"00095",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01300186","Sample-Routine","Water","Surface Water","2012-11-13","10:55:00","MST",,,,,,,,,,,"Routine","USGS - Utah Water Science Center","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Gage height",,"0.90","m",,"Accepted",,"Actual",,,,,,,"30207",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
